20170708 15:45:00,287037,288190,286826,288222
20170708 16:00:00,288138,288222,287380,288060
20170708 16:15:00,288060,288750,287680,288140
20170708 16:30:00,288140,289150,288140,289101
20170708 16:45:00,289102,289102,287633,288078
20170708 17:00:00,288201,288400,287526,287606
20170708 17:15:00,287630,287966,287550,287899
20170708 17:30:00,287899,288137,287557,288099
20170708 17:45:00,288099,288420,287835,288356
20170708 18:00:00,288356,288490,288086,288455
20170708 18:15:00,288460,288552,288165,288222
20170708 18:30:00,288227,288550,288043,288251
20170708 18:45:00,288257,288520,288140,288351
20170708 19:00:00,288479,288844,288352,288844
20170708 19:15:00,288844,289720,288580,289274
20170708 19:30:00,289200,289706,289165,289406
20170708 19:45:00,289441,289566,289080,289322
20170708 20:00:00,289321,289523,289040,289327
20170708 20:15:00,289275,289491,288930,289246
20170708 20:30:00,289246,289340,288521,288758
20170708 20:45:00,288758,288768,287800,288299
20170708 21:00:00,288294,288579,288101,288446
20170708 21:15:00,288445,289430,288414,289211
20170708 21:30:00,289211,289600,288870,289544
20170708 21:45:00,289545,289999,289545,289715
20170708 22:00:00,289700,289796,288881,289209
20170708 22:15:00,289209,289800,288950,289535
20170708 22:30:00,289540,290300,289221,289830
20170708 22:45:00,289786,290450,289786,290042
20170708 23:00:00,290042,290366,289721,290000
20170708 23:15:00,290000,290689,289899,290110
20170708 23:30:00,290110,291502,290110,291094
20170708 23:45:00,291094,291290,290720,291015
20170709 00:00:00,291015,291369,290679,291174
20170709 00:15:00,291149,291204,290417,290746
20170709 00:30:00,290696,291009,290190,290210
20170709 00:45:00,290276,290500,289400,290445
20170709 01:00:00,290445,290643,290113,290413
20170709 01:15:00,290401,291200,290365,290861
20170709 01:30:00,290811,291000,290589,291000
20170709 01:45:00,291000,291300,290609,290610
20170709 02:00:00,290610,290860,289951,290260
20170709 02:15:00,290280,290310,289140,289729
20170709 02:30:00,289729,290810,289720,290304
20170709 02:45:00,290309,290839,289719,289719
20170709 03:00:00,290100,290100,289500,290150
20170709 03:15:00,290060,290242,289500,290000
20170709 03:30:00,290022,290248,289550,289625
20170709 03:45:00,289621,290181,289621,290181
20170709 04:00:00,290181,290990,290181,291039
20170709 04:15:00,291039,291040,290280,290318
20170709 04:30:00,290320,290850,289940,290770
20170709 04:45:00,290619,291050,290404,290991
20170709 05:00:00,290936,291090,290400,291090
20170709 05:15:00,291023,291170,290801,290873
20170709 05:30:00,290889,291221,290872,290830
20170709 05:45:00,290835,291100,290451,290725
20170709 06:00:00,290725,291070,290700,290874
20170709 06:15:00,290824,291100,290323,290899
20170709 06:30:00,290899,290949,290406,290950
20170709 06:45:00,290989,291069,290600,290601
